gender,age,study_hours,attendance,sleep_hours,previous_grade,internet_access,parent_education,family_income,extra_classes,assignments_completed,participation,final_score,pass_fail
female,17,5,100.0,6.0,37.5,yes,middle,medium,yes,100.0,60.0,0,0
female,18,12,92.47,6.0,77.5,yes,secondary,high,no,91.6,73.33,85,1
female,17,5,95.7,6.0,47.5,yes,middle,low,yes,95.2,66.67,50,1
female,19,8,95.7,7.0,57.5,yes,middle,medium,yes,77.2,73.33,55,1
male,18,5,100.0,6.0,50.0,yes,higher,medium,no,82.0,66.67,0,0
male,18,5,88.17,8.0,77.5,yes,higher,high,no,86.8,66.67,75,1
female,17,5,100.0,8.0,42.5,yes,middle,medium,no,82.0,46.67,0,0
female,18,8,95.7,7.0,52.5,yes,middle,medium,no,95.2,66.67,50,1
female,18,8,92.47,6.0,65.0,yes,middle,medium,no,91.6,80.0,70,1
male,18,8,90.32,8.0,77.5,yes,higher,low,no,89.2,66.67,80,1
male,18,8,100.0,8.0,50.0,yes,higher,medium,yes,100.0,93.33,45,1
female,17,8,100.0,8.0,70.0,yes,higher,medium,yes,100.0,73.33,75,1
male,18,2,89.25,8.0,60.0,yes,middle,low,no,70.0,80.0,65,1
male,19,5,91.4,6.0,37.5,yes,primary,low,no,36.4,86.67,40,1
male,17,5,97.85,7.0,65.0,yes,secondary,medium,yes,97.6,86.67,65,1
male,18,2,92.47,7.0,37.5,yes,middle,high,no,73.6,66.67,40,1
male,19,2,95.7,8.0,40.0,yes,primary,low,no,77.2,80.0,40,1
male,17,5,95.7,6.0,60.0,yes,higher,low,yes,95.2,93.33,55,1
female,18,5,100.0,8.0,47.5,no,secondary,medium,no,100.0,80.0,45,1
female,17,5,95.7,8.0,62.5,yes,higher,low,yes,95.2,66.67,65,1
female,17,5,97.85,8.0,60.0,no,middle,high,no,97.6,40.0,55,1
male,18,2,95.7,7.0,50.0,yes,primary,high,no,95.2,53.33,50,1
female,18,8,100.0,8.0,85.0,yes,primary,high,no,100.0,66.67,80,1
female,18,5,100.0,8.0,65.0,no,middle,low,no,100.0,73.33,65,1
male,18,5,97.85,8.0,62.5,no,primary,low,no,79.6,73.33,60,1
female,18,5,100.0,7.0,55.0,yes,secondary,medium,no,100.0,60.0,50,1
female,17,5,100.0,6.0,77.5,yes,higher,high,yes,100.0,60.0,75,1
female,17,5,100.0,7.0,57.5,no,middle,low,no,100.0,46.67,60,1
male,18,5,95.7,7.0,50.0,no,middle,low,yes,95.2,66.67,50,1
male,18,8,100.0,8.0,65.0,yes,higher,high,yes,100.0,53.33,65,1
female,17,2,100.0,6.0,32.5,yes,primary,low,yes,82.0,53.33,0,0
female,18,2,100.0,8.0,52.5,yes,middle,medium,yes,100.0,66.67,50,1
female,18,5,89.25,8.0,65.0,yes,higher,low,yes,88.0,46.67,55,1
female,19,5,95.7,7.0,35.0,no,middle,high,no,59.2,46.67,45,1
male,18,2,96.77,7.0,65.0,yes,middle,low,yes,96.4,66.67,60,1
female,17,8,91.4,7.0,60.0,no,middle,medium,no,90.4,66.67,55,1
female,17,2,84.95,6.0,27.5,yes,middle,low,no,83.2,86.67,25,0
female,18,8,100.0,6.0,92.5,yes,higher,low,no,100.0,86.67,95,1
female,18,8,97.85,8.0,40.0,yes,primary,low,no,97.6,60.0,50,1
female,20,8,95.7,7.0,72.5,yes,secondary,medium,yes,59.2,80.0,75,1
female,18,5,95.7,6.0,42.5,yes,higher,low,yes,95.2,80.0,50,1
female,18,5,100.0,6.0,75.0,yes,secondary,medium,yes,100.0,53.33,75,1
female,17,5,81.72,6.0,50.0,yes,middle,low,yes,79.6,86.67,50,1
male,18,5,95.7,6.0,72.5,yes,higher,medium,yes,95.2,60.0,70,1
male,18,2,94.62,8.0,32.5,yes,middle,low,no,94.0,73.33,35,0
male,17,5,97.85,7.0,55.0,yes,middle,medium,no,97.6,73.33,50,1
male,19,2,100.0,8.0,27.5,no,primary,low,no,82.0,60.0,0,0
male,18,2,84.95,7.0,27.5,no,secondary,low,yes,65.2,80.0,25,0
female,18,8,97.85,8.0,47.5,no,middle,low,yes,97.6,73.33,50,1
female,18,2,92.47,8.0,27.5,yes,higher,low,yes,91.6,73.33,30,0
female,19,8,100.0,8.0,30.0,yes,middle,low,no,82.0,73.33,0,0
female,18,5,100.0,6.0,40.0,yes,middle,high,yes,100.0,73.33,40,1
female,18,5,100.0,8.0,27.5,no,primary,medium,no,82.0,20.0,0,0
male,20,5,88.17,8.0,45.0,no,middle,high,yes,50.8,93.33,45,1
male,17,2,96.77,6.0,75.0,yes,middle,high,no,96.4,73.33,80,1
male,21,2,96.77,7.0,45.0,no,primary,low,no,42.4,86.67,35,0
male,18,2,100.0,8.0,57.5,yes,middle,low,no,100.0,60.0,50,1
male,19,2,94.62,8.0,42.5,yes,primary,high,no,94.0,53.33,45,1
